video_id,clip_similarity,label
to2wIB4KJTs,0.28094273805618286,1
io-lw-yDKzY,0.2860034704208374,1
k9VKLB_if0Q,0.31090638041496277,1
6lzd_lA5Pp8,0.2676082253456116,1
aJ7XoeB8TME,0.2837207019329071,1
ciVSCgt2QEg,0.24468187987804413,1
bjLHKWdzbtI,0.33330318331718445,1
0Kyym9Yu5w0,0.23753409087657928,1
8WgmjTwqtKY,0.27666160464286804,1
T1hea-cf7B4,0.34921371936798096,1
Jm9PbZO8xXQ,0.28855565190315247,1
Juu9vc2oqHM,0.30981922149658203,1
2l6wYBV94Gw,0.27534908056259155,1
rKNoyR36i34,0.29845088720321655,1
YUfaIIh3pRM,0.30397459864616394,1
g5sdPcModvQ,0.2843095362186432,1
DEYS90OC1FA,0.27608388662338257,1
zyTqElwSG5w,0.35818198323249817,1
ppr6cZI64DY,0.32603707909584045,1
hIv5AC_8zak,0.2572735846042633,1
_ekg01ZNRIg,0.2546878457069397,1
FXp4hETJkvY,0.2749801278114319,1
7EP6EpFyIJY,0.3532969057559967,1
pBd14qS4Ims,0.3535449504852295,1
AqLMQY2nKpI,0.28563791513442993,1
I2A1tz9ftz4,0.34111812710762024,1
dMjK6BbLmqE,0.325671523809433,1
zTgyKfzXa8U,0.2620511054992676,1
T0nydcH2B9Y,0.24676664173603058,1
a6cXhflwfW0,0.30375367403030396,1
mw_QXmsCN8I,0.31757110357284546,1
I_3dlerKYDE,0.2789425253868103,1
M_3STI_4bKM,0.29255518317222595,1
OcJM2UmgF5o,0.26297539472579956,1
9uoGxne4W54,0.2820143699645996,1
MyPeH4mo9mw,0.3461214601993561,1
-OHejAhnDwA,0.3252735733985901,1
2PbNHVe5FYo,0.26993435621261597,1
7M3SgJhNlyo,0.33500415086746216,1
lDjR8yD3Obs,0.2685256898403168,1
1jj8tny5qVk,0.2194589078426361,1
rvl6qhBGHAY,0.24479106068611145,1
c7UtiZEiYKg,0.3071274161338806,1
iEy1L0d3F4c,0.2945297956466675,1
nzBcpzsxjQM,0.333748459815979,1
vDgrnx_nkhI,0.2623026371002197,1
zeyQOw7mIhc,0.2599962651729584,1
LOfDW_96yV0,0.24429257214069366,1
KajQuUrDTj8,0.24749578535556793,1
iGQjn_cDBdA,0.27390068769454956,1
8wld_fYnqZc,0.24218401312828064,1
riJTgStqyw0,0.2668265104293823,1
kwuIWZ9wRmw,0.2990460991859436,1
AsFQ3Oe3hYQ,0.21618995070457458,1
dW8J7_l8INY,0.3007090985774994,1
sUOziK6nCBA,0.26444682478904724,1
WEPK_mubM5w,0.28108981251716614,1
fleUyiUmedQ,0.3037225008010864,1
Gm5RSJ3WG7I,0.2646626830101013,1
XQmcH1yTbrA,0.30637499690055847,1
Sf5yOKjxggA,0.19483177363872528,1
uGBjK8Cu8H4,0.2889024615287781,1
6JxkR5zYgSU,0.3163032531738281,1
WHjITn_bFuM,0.1947460025548935,1
G6K1krqHoHk,0.21485653519630432,1
2nmcEH8UApk,0.21553479135036469,1
02neZSqtBfU,0.3027527928352356,1
53q2qMvJjxQ,0.2607567608356476,1
mOK8otJIo9k,0.25615501403808594,1
WPQQ49r_pm4,0.35442423820495605,1
Q-uTVBm5MNc,0.21879294514656067,1
BVOb8SDQhG8,0.2530733048915863,1
lHriHbKaS0A,0.22230593860149384,1
W-7TaAGww5g,0.27531614899635315,1
EYpo1TSCMhI,0.3020646274089813,1
cDMn8Liz7OM,0.21246036887168884,1
ukSzjIbZDSo,0.28357169032096863,1
